movieId,keywords,cast,genres,popularity,title,director,prod_company,avg_rating,revenue_millions
24,"['dead animal', 'shot to death', 'teenage boy']","['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']","['Drama', 'Fantasy', 'Science Fiction']",12.13,Powder,Victor Salva,Caravan Pictures,3.18,0.0
25,"['individual', 'prostitute', 'alcohol']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']","['Drama', 'Romance']",10.33,Leaving Las Vegas,Mike Figgis,United Artists,3.67,49.8
27,"['1970s', 'female friendship', 'coming of age']","['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch']","['Comedy', 'Drama', 'Family']",8.68,Now and Then,Lesli Linka Glatter,New Line Cinema,3.42,27.4
31,"['rap music', 'karate', 'high school']","['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance']","['Drama', 'Crime']",9.48,Dangerous Minds,John N. Smith,Hollywood Pictures,3.24,180.0
32,"['schizophrenia', 'philadelphia', 'cassandra syndrom']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']","['Science Fiction', 'Thriller', 'Mystery']",12.3,Twelve Monkeys,Terry Gilliam,Universal Pictures,3.89,168.84
36,"['prison', 'rape', 'socially deprived family']","['Susan Sarandon', 'Sean Penn', 'Robert Prosky']",['Drama'],6.89,Dead Man Walking,Tim Robbins,Havoc,3.93,39.364
37,[],"['Peter Reznick', 'John McDonough', 'Avi Hoffman']","['Adventure', 'History', 'Drama']",0.11,Across the Sea of Time,Stephen Low,Sony New Technologies,2.94,0.0
38,"['orphan', 'identical twin']","['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen']","['Comedy', 'Family', 'Romance']",7.78,It Takes Two,Andy Tennant,Dualstar Productions,2.89,0.0
39,"['puberty', 'high school', 'make a match']","['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']","['Comedy', 'Drama', 'Romance']",9.88,Clueless,Amy Heckerling,Paramount Pictures,3.41,0.0
42,"['money', 'loss of virginity', 'hiding in a dumpster']","['Larenz Tate', 'Keith David', 'Chris Tucker']","['Action', 'Crime', 'Drama']",9.88,Dead Presidents,Albert Hughes,Caravan Pictures,3.05,0.0
43,"['jealousy', 'medicine', 'fountain']","['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill']","['Drama', 'Romance']",10.98,Restoration,Michael Hoffman,Miramax Films,3.47,0.0
44,"['martial arts', 'monster', 'island']","['Christopher Lambert', 'Robin Shou', 'Linden Ashby']","['Action', 'Fantasy']",10.87,Mortal Kombat,Paul W.S. Anderson,New Line Cinema,2.63,122.196
45,"['adultery', 'winter', 'obsession']","['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']","['Fantasy', 'Drama', 'Comedy']",10.45,To Die For,Gus Van Sant,The Rank Organisation,3.37,21.285
46,"['wedding vows', 'marriage proposal', 'married couple']","['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn']","['Drama', 'Romance']",4.49,How To Make An American Quilt,Jocelyn Moorhouse,Universal Pictures,3.27,23.574
47,"['self-fulfilling prophecy', 'detective', 's.w.a.t.']","['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow']","['Crime', 'Mystery', 'Thriller']",18.46,Se7en,David Fincher,New Line Cinema,4.07,327.312
48,"['culture clash', 'settler', 'forbidden love']","['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers']","['Adventure', 'Animation', 'Drama']",13.28,Pocahontas,Mike Gabriel,Walt Disney Pictures,2.96,346.08
50,"['law', 'relatives', 'theft']","['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri']","['Drama', 'Crime', 'Thriller']",16.3,The Usual Suspects,Bryan Singer,Blue Parrot Productions,4.3,23.342
52,"['prostitute', 'adoption', 'adoptive father']","['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter']","['Comedy', 'Romance']",15.9,Mighty Aphrodite,Woody Allen,Miramax Films,3.54,6.7
54,"['sport', 'kids and family', 'soccer']","['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']","['Action', 'Adventure', 'Comedy']",5.98,The Big Green,Holly Goldberg Sloan,Walt Disney Pictures,2.85,0.0
57,"['baltimore', 'thanksgiving', 'family clan']","['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft']","['Comedy', 'Drama', 'Romance']",8.42,Home for the Holidays,Jodie Foster,Paramount Pictures,3.32,17.519
60,"['cupboard', 'games', 'puppet']","['Hal Scardino', 'Litefoot', 'Lindsay Crouse']","['Adventure', 'Family', 'Fantasy']",10.67,The Indian in the Cupboard,Frank Oz,Paramount Pictures,3.07,0.0
61,"['rape', 'gun', 'self-defense']","['Sally Field', 'Kiefer Sutherland', 'Ed Harris']","['Drama', 'Thriller']",4.73,Eye for an Eye,John Schlesinger,Paramount Pictures,3.34,0.0
62,"['composer', 'mentor', 'deaf-mute']","['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']","['Music', 'Drama', 'Family']",7.14,Mr. Holland's Opus,Stephen Herek,Hollywood Pictures,3.75,106.27
63,"['date', 'slang', 'hip-hop']","['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones']",['Comedy'],11.7,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay,Miramax Films,3.11,0.0
64,"['island', 'painting', 'thief']","['Sandra Bullock', 'Denis Leary', 'Yaphet Kotto']","['Comedy', 'Romance']",2.17,Two If by Sea,Bill Bennett,Warner Bros.,2.84,0.0
65,"['biotope', 'vegetarian', 'pollution']","['Pauly Shore', 'Stephen Baldwin', 'Joey Lauren Adams']",['Comedy'],6.39,Bio-Dome,Jason Bloom,Metro-Goldwyn-Mayer (MGM),2.4,0.0
66,"['hacker', 'virtual reality', 'computer']","['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien""]","['Action', 'Science Fiction']",2.5,Lawnmower Man 2: Beyond Cyberspace,Farhad Mann,New Line Cinema,2.16,2.409
67,[],"['Jerry Barone', 'Al Pacino', 'Mary Elizabeth Mastrantonio']","['Drama', 'Family']",4.05,Two Bits,James Foley,Miramax Films,3.35,0.0
69,"['rap music', 'parent child relationship', 'rapper']","['Ice Cube', 'Chris Tucker', 'Nia Long']",['Comedy'],14.57,Friday,F. Gary Gray,New Line Cinema,3.55,28.216
70,"['dancing', 'brother brother relationship', 'sexual obsession']","['George Clooney', 'Quentin Tarantino', 'Harvey Keitel']","['Horror', 'Action', 'Thriller']",15.34,From Dusk Till Dawn,Robert Rodriguez,A Band Apart,3.31,25.837
71,"['bomb', 'miami', 'sex']","['William Baldwin', 'Cindy Crawford', 'Steven Berkoff']","['Action', 'Thriller', 'Romance']",5.91,Fair Game,Andrew Sipes,Silver Pictures,2.35,11.534
72,['college'],"['Josh Hamilton', ""Olivia d'Abo"", 'Carlos Jacott']","['Comedy', 'Drama', 'Romance']",3.37,Kicking and Screaming,Noah Baumbach,Castleberg Productions,3.48,0.718
74,"['florist', 'family relationships']","['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon']","['Drama', 'Romance']",10.41,Bed of Roses,Michael Goldenberg,New Line Cinema,3.3,19.031
75,['bully'],"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips']","['Comedy', 'Family']",2.94,Big Bully,Steve Miner,Warner Bros.,2.46,2.043
78,"['loss of daughter', 'hit-and-run driving ', 'revenge']","['Jack Nicholson', 'David Morse', 'Anjelica Huston']","['Drama', 'Thriller']",5.76,The Crossing Guard,Sean Penn,Miramax Films,3.17,0.0
79,"['jurors', 'blackmail', 'court case']","['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt']","['Drama', 'Thriller']",6.01,The Juror,Brian Gibson,Columbia Pictures Corporation,3.16,0.0
81,"['father son relationship', 'bounty hunter', 'boat']","['Andy García', 'Christopher Lloyd', 'William Forsythe']","['Drama', 'Crime']",4.49,Things to Do in Denver When You're Dead,Gary Fleder,Miramax Films,3.27,0.53
83,"['racial segregation', 'family relationships', 'rural setting']","['Al Freeman, Jr.', 'Phylicia Rashād', 'Paula Kelly']","['Romance', 'Drama']",0.25,Once Upon a Time... When We Were Colored,Tim Reid,BET Pictures,3.65,0.0
86,"['sailing trip', 'diary', 'sailing']","['Jeff Bridges', 'Caroline Goodall', 'John Savage']","['Action', 'Drama']",9.57,White Squall,Ridley Scott,Hollywood Pictures,3.49,10.3
87,"['boss', 'fistfight', 'bully']","['Jason Alexander', 'Faye Dunaway', 'Eric Lloyd']","['Adventure', 'Comedy', 'Family']",4.81,Dunston Checks In,Ken Kwapis,Twentieth Century Fox Film Corporation,2.41,0.0
88,"['nitrous oxide', 'candid camera', 'double act']","['Chris Farley', 'David Spade', 'Grant Heslov']",['Comedy'],8.96,Black Sheep,Penelope Spheeris,Paramount Pictures,3.13,0.0
89,"['assassination', 'train station', 'politics']","['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton']","['Crime', 'Drama', 'Thriller']",6.85,Nick of Time,John Badham,Paramount Pictures,3.14,8.175
90,[],"['Jason Patric', 'Thandie Newton', 'Larry Drake']",['Drama'],0.41,The Journey of August King,John Duigan,Miramax Films,3.34,0.0
92,"['servant', 'monster', 'laboratory']","['Julia Roberts', 'John Malkovich', 'George Cole']","['Drama', 'Horror', 'Thriller']",12.87,Mary Reilly,Stephen Frears,TriStar Pictures,2.85,12.379
93,"['vampire', 'half vampire']","['Eddie Murphy', 'Angela Bassett', 'Allen Payne']","['Comedy', 'Horror', 'Romance']",9.07,Vampire in Brooklyn,Wes Craven,Paramount Pictures,2.51,19.8
94,['hometown'],"['Matt Dillon', 'Noah Emmerich', 'Annabeth Gish']","['Comedy', 'Drama', 'Romance']",4.67,Beautiful Girls,Ted Demme,Miramax Films,3.53,0.0
95,"['helicopter', 'river', 'captain']","['John Travolta', 'Christian Slater', 'Samantha Mathis']","['Action', 'Adventure', 'Drama']",14.96,Broken Arrow,John Woo,Twentieth Century Fox Film Corporation,3.11,150.27
100,"['corruption', 'undercover', 'war on drugs']","['Al Pacino', 'John Cusack', 'Bridget Fonda']","['Drama', 'Thriller']",4.81,City Hall,Harold Becker,Columbia Pictures,3.23,0.0
101,"['brother brother relationship', 'robbery', 'burglar']","['Luke Wilson', 'Owen Wilson', 'Lumi Cavazos']","['Comedy', 'Crime', 'Drama']",6.9,Bottle Rocket,Wes Anderson,Gracie Films,3.78,0.56
102,[],"['Ellen DeGeneres', 'Bill Pullman', 'Joan Cusack']","['Comedy', 'Romance']",3.33,Mr. Wrong,Nick Castle,Touchstone Pictures,2.44,0.0
103,"['wife husband relationship', 'experiment', 'police']","['Ray Liotta', 'Linda Fiorentino', 'Peter Coyote']","['Drama', 'Mystery', 'Science Fiction']",2.46,Unforgettable,John Dahl,Metro-Goldwyn-Mayer (MGM),3.27,0.0
104,"['loss of mother', 'loss of father', 'golf']","['Adam Sandler', 'Ben Stiller', 'Christopher McDonald']",['Comedy'],9.59,Happy Gilmore,Dennis Dugan,Universal Pictures,3.4,41.205
105,"['farewell', 'adultery', 'love at first sight']","['Meryl Streep', 'Clint Eastwood', 'Annie Corley']","['Drama', 'Romance']",5.95,The Bridges of Madison County,Clint Eastwood,Amblin Entertainment,3.33,182.017
107,"['island', 'pirate gang', 'puppet']","['Tim Curry', 'Kevin Bishop', 'Jennifer Saunders']","['Action', 'Comedy', 'Music']",6.9,Muppet Treasure Island,Brian Henson,Walt Disney Pictures,3.2,34.327
110,"['individual', 'scotland', 'in love with enemy']","['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau']","['Action', 'Drama', 'History']",20.76,Braveheart,Mel Gibson,Icon Entertainment International,4.02,210.0
111,"['vietnam veteran', 'taxi', 'obsession']","['Robert De Niro', 'Cybill Shepherd', 'Harvey Keitel']","['Crime', 'Drama']",14.09,Taxi Driver,Martin Scorsese,Columbia Pictures Corporation,4.09,28.263
113,[],"['Meryl Streep', 'Liam Neeson', 'Edward Furlong']","['Drama', 'Thriller']",2.94,Before and After,Barbet Schroeder,Caravan Pictures,3.12,0.0
118,"['roommate', 'single', 'love']","['Sarah Jessica Parker', 'Elle Macpherson', 'Scarlett Johansson']","['Comedy', 'Romance']",2.89,If Lucy Fell,Eric Schaeffer,TriStar Pictures,3.01,0.0
119,"['brother brother relationship', 'twin brother', 'lawyer']","['Andy García', 'Alan Arkin', 'Rachel Ticotin']","['Comedy', 'Drama']",1.52,Steal Big Steal Little,Andrew Davis,Savoy Pictures,2.8,6.278
120,"['hawaii', 'australia', 'teacher']","['Halle Berry', 'Jim Belushi', 'Casey Affleck']","['Action', 'Adventure', 'Comedy']",1.32,Race the Sun,Charles T. Kanganis,TriStar Pictures,2.88,0.0
122,"['role of women', 'ladykiller', 'success']","['Eddie Murphy', 'Robin Givens', 'Halle Berry']","['Comedy', 'Romance']",6.51,Boomerang,Reginald Hudlin,Paramount Pictures,2.86,70.1
125,"['lsd', 'looking for  birth parents', 'half-brother']","['Ben Stiller', 'Patricia Arquette', 'Téa Leoni']","['Comedy', 'Romance']",5.58,Flirting with Disaster,David O. Russell,Miramax Films,3.74,14.702
132,"['callgirl', 'san francisco', 'investigation']","['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri']","['Action', 'Thriller', 'Mystery']",11.42,Jade,William Friedkin,Paramount Pictures,2.77,9.852
135,"['submarine', 'u.s. navy', 'misfit']","['Kelsey Grammer', 'Lauren Holly', 'Rob Schneider']",['Comedy'],5.18,Down Periscope,David S. Ward,Twentieth Century Fox Film Corporation,3.0,0.0
136,['biography'],"['Jean Seberg', 'Mary Beth Hurt']",['Documentary'],0.28,From the Journals of Jean Seberg,Mark Rappaport,Couch Potatoe Productions,3.56,0.0
140,"['skab under tv', 'foran', 'nederste hylde']","['Robert Redford', 'Michelle Pfeiffer', 'Stockard Channing']","['Drama', 'Romance']",3.4,Up Close & Personal,Jon Avnet,Cinergi Pictures Entertainment,3.31,0.0
141,"['gay', 'drag queen', 'homophobia']","['Robin Williams', 'Gene Hackman', 'Nathan Lane']",['Comedy'],6.5,The Birdcage,Mike Nichols,United Artists,3.52,185.261
144,"['love', 'independent film', 'best friend']","['Shari Albert', 'Maxine Bahns', 'Catharine Bolz']","['Comedy', 'Drama', 'Romance']",2.04,The Brothers McMullen,Edward Burns,Fox Searchlight Pictures,3.47,0.0
145,"['miami', 'detective', 'handcuffs']","['Will Smith', 'Martin Lawrence', 'Téa Leoni']","['Action', 'Comedy', 'Crime']",9.26,Bad Boys,Michael Bay,Columbia Pictures,3.27,141.407
146,"['china', 'panda', 'poacher']","['Stephen Lang', 'Ryan Slater', 'Yi Ding']","['Action', 'Adventure', 'Drama']",2.38,The Amazing Panda Adventure,Christopher Cain,Warner Bros.,2.9,0.0
147,"['sport', 'basketball', 'addiction']","['Leonardo DiCaprio', 'Lorraine Bracco', 'James Madio']","['Drama', 'Crime']",7.42,The Basketball Diaries,Scott Kalvert,New Line Cinema,3.6,0.0
150,"['moon', 'florida', 'nasa']","['Tom Hanks', 'Bill Paxton', 'Kevin Bacon']",['Drama'],18.76,Apollo 13,Ron Howard,Imagine Entertainment,3.88,355.238
152,"['new york', 'philosophy', 'vampire']","['Lili Taylor', 'Christopher Walken', 'Annabella Sciorra']","['Drama', 'Horror']",3.14,The Addiction,Abel Ferrara,October Films,3.1,0.0
156,"['smoking', 'corner shop', 'cigarette']","['Harvey Keitel', 'Lou Reed', 'Michael J. Fox']",['Comedy'],11.53,Blue in the Face,Paul Auster,Miramax Films,3.54,1.275
158,"['halloween', 'friendship', 'supernatural']","['Christina Ricci', 'Bill Pullman', 'Cathy Moriarty']","['Fantasy', 'Comedy', 'Family']",12.81,Casper,Brad Silberling,Universal Pictures,2.89,287.928
159,"['drug pusher', 'train', 'drug']","['Harvey Keitel', 'John Turturro', 'Delroy Lindo']","['Mystery', 'Crime', 'Drama']",4.56,Clockers,Spike Lee,Universal Pictures,3.41,13.072
160,"['gorilla', 'kongo', 'diamond mine']","['Laura Linney', 'Dylan Walsh', 'Ernie Hudson']","['Action', 'Adventure', 'Drama']",7.26,Congo,Frank Marshall,Paramount Pictures,2.61,152.022
161,"['submarine', 'mutiny', 'russia']","['Denzel Washington', 'Gene Hackman', 'Matt Craven']","['Action', 'Thriller', 'Drama']",8.66,Crimson Tide,Tony Scott,Hollywood Pictures,3.75,157.387
162,"['underground', 'biography', 'art']","['Robert Crumb', 'Aline Kominsky', 'Charles Crumb']",['Documentary'],3.62,Crumb,Terry Zwigoff,Superior Pictures,3.99,3.175
163,"['gunslinger', 'anti terror', 'ambush']","['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']","['Thriller', 'Action', 'Crime']",6.95,Desperado,Robert Rodriguez,Columbia Pictures,3.43,25.405
164,"['jazz club', 'murder', 'los angeles']","['Denzel Washington', 'Tom Sizemore', 'Jennifer Beals']","['Drama', 'Mystery', 'Thriller']",4.65,Devil in a Blue Dress,Carl Franklin,TriStar Pictures,3.46,16.141
165,"['bomb', 'taxi', 'riddle']","['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson']","['Action', 'Thriller']",15.14,Die Hard: With a Vengeance,John McTiernan,Twentieth Century Fox Film Corporation,3.5,366.102
168,"['camelot', 'knight', 'king arthur']","['Sean Connery', 'Richard Gere', 'Julia Ormond']","['Action', 'Adventure', 'Drama']",15.18,First Knight,Jerry Zucker,Columbia Pictures Corporation,3.06,127.6
170,"['female nudity', 'hacker', 'nudity']","['Jonny Lee Miller', 'Angelina Jolie', 'Jesse Bradford']","['Action', 'Crime', 'Thriller']",14.81,Hackers,Iain Softley,United Artists,3.22,7.564
171,"['gay', 'aids', 'based on play or musical']","['Steven Weber', 'Patrick Stewart', 'Michael T. Weiss']","['Comedy', 'Drama', 'Romance']",3.2,Jeffrey,Christopher Ashley,The Booking Office,3.6,0.0
173,"['judge', 'post-apocalyptic', 'dystopia']","['Sylvester Stallone', 'Diane Lane', 'Armand Assante']",['Science Fiction'],8.18,Judge Dredd,Danny Cannon,Hollywood Pictures,2.53,113.493
174,"['stripper', 'jury', 'jurist']","['Pauly Shore', 'Tia Carrere', 'Stanley Tucci']","['Comedy', 'Drama']",3.68,Jury Duty,John Fortenberry,TriStar Pictures,2.45,17.015
175,"['puberty', 'first time']","['Leo Fitzpatrick', 'Rosario Dawson', 'Chloë Sevigny']","['Drama', 'Crime']",4.88,Kids,Larry Clark,Miramax Films,3.53,7.412
176,"['cinema', 'independent film', 'filmmaker']","['Steve Buscemi', 'Catherine Keener', 'Dermot Mulroney']","['Drama', 'Comedy']",10.06,Living in Oblivion,Tom DiCillo,JDI productions,3.85,1.149
177,"['fanatic', 'supernatural', 'wizardry']","['Scott Bakula', ""Kevin J. O'Connor"", 'Famke Janssen']","['Mystery', 'Horror', 'Thriller']",4.1,Lord of Illusions,Clive Barker,United Artists,2.89,0.0
179,"['suicide attempt', 'college', 'teen angst']","[""Chris O'Donnell"", 'Drew Barrymore', 'Matthew Lillard']","['Drama', 'Family', 'Romance']",2.62,Mad Love,Antonia Bird,Touchstone Pictures,2.75,15.453
180,"['sex', 'game show', 'slacker']","['Jason Lee', 'Jeremy London', 'Shannen Doherty']","['Romance', 'Comedy']",8.26,Mallrats,Kevin Smith,Universal Pictures,3.57,2.123
184,"['new york', 'vampire', 'dracula']","['Elina Löwensohn', 'Peter Fonda', 'David Lynch']","['Horror', 'Thriller']",7.72,Nadja,Michael Almereyda,Kino Link Company,3.1,0.0
185,"['cheating', 'new identity', 'computer virus']","['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller']","['Crime', 'Drama', 'Mystery']",13.3,The Net,Irwin Winkler,Columbia Pictures,3.12,110.628
186,"['parent child relationship', 'baby', 'marriage']","['Hugh Grant', 'Julianne Moore', 'Tom Arnold']",['Comedy'],8.48,Nine Months,Chris Columbus,Twentieth Century Fox Film Corporation,2.87,69.661
187,"['library', 'party', 'independent film']","['Parker Posey', 'Liev Schreiber', 'Anthony DeSando']",['Comedy'],1.17,Party Girl,Daisy von Scherler Mayer,Party Productions,3.45,0.472
188,"['angel', 'archangel gabriel', 'menschheit']","['Christopher Walken', 'Elias Koteas', 'Virginia Madsen']","['Fantasy', 'Horror', 'Thriller']",10.19,The Prophecy,Gregory Widen,Dimension Films,3.33,0.0
189,"['trauma', 'game show', 'female protagonist']","['Mia Farrow', 'Tony Goldwyn', 'Scott Glenn']","['Fantasy', 'Comedy', 'Drama']",0.12,Reckless,Norman René,Playhouse International Pictures,3.01,0.0
191,"['based on novel', 'burning of witches', 'puritan']","['Demi Moore', 'Gary Oldman', 'Robert Duvall']","['Drama', 'History', 'Romance']",6.75,The Scarlet Letter,Roland Joffé,Hollywood Pictures,2.69,10.382
195,"['horse', 'savannah', 'based on true story']","['Julia Roberts', 'Dennis Quaid', 'Robert Duvall']",['Comedy'],3.74,Something to Talk About,Lasse Hallström,Spring Creek Productions,3.09,50.892
196,"['telepathy', 'dna', 'paranoia']","['Natasha Henstridge', 'Ben Kingsley', 'Michael Madsen']","['Science Fiction', 'Horror', 'Action']",13.49,Species,Roger Donaldson,Metro-Goldwyn-Mayer (MGM),2.83,113.374
197,"['restaurant', 'oil', 'rural setting']","['Robert Duvall', 'Aidan Quinn', 'Frances Fisher']",['Drama'],0.91,The Stars Fell on Henrietta,James Keach,Malpaso Productions,3.08,0.0
198,"['pornography', 'prostitute', 'rape']","['Ralph Fiennes', 'Angela Bassett', 'Tom Sizemore']","['Crime', 'Drama', 'Science Fiction']",11.22,Strange Days,Kathryn Bigelow,Lightstorm Entertainment,3.42,7.959
200,[],"['Daryl Hannah', 'Keith Carradine', 'Moira Kelly']",['Thriller'],1.82,The Tie That Binds,Wesley Strick,Hollywood Pictures,2.84,5.78
201,"['baseball', 'drifter', 'dog']","['Patrick Swayze', 'Mary Elizabeth Mastrantonio', 'Joseph Mazzello']","['Drama', 'Fantasy']",11.0,Three Wishes,Martha Coolidge,Savoy Pictures,3.04,7.025
203,"['transvestism', 'gay', 'new york']","['Patrick Swayze', 'Wesley Snipes', 'John Leguizamo']",['Comedy'],7.65,"To Wong Foo, Thanks for Everything! Julie Newmar",Beeban Kidron,Universal Pictures,3.16,47.774
204,"['terrorist', 'pentagon', 'satellite']","['Steven Seagal', 'Eric Bogosian', 'Everett McGill']","['Action', 'Thriller']",7.49,Under Siege 2: Dark Territory,Geoff Murphy,Regency Enterprises,2.93,104.324
207,"['world war ii', 'vineyard', 'love']","['Keanu Reeves', 'Aitana Sánchez-Gijón', 'Anthony Quinn']","['Drama', 'Romance']",9.72,A Walk in the Clouds,Alfonso Aráu,Twentieth Century Fox Film Corporation,3.37,50.013
208,"['ocean', 'tattoo', 'mutant']","['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']","['Adventure', 'Action']",16.89,Waterworld,Kevin Reynolds,Universal Pictures,2.86,264.218
212,"['cave', 'waterfall', 'children']","['Daniel Stern', 'Jon Polito', 'Brad Sullivan']","['Adventure', 'Action', 'Comedy']",3.29,Bushwhacked,Greg Beeman,Twentieth Century Fox Film Corporation,2.56,0.0
216,['woman director'],"['Adam Sandler', 'Darren McGavin', 'Bridgette Wilson']",['Comedy'],6.64,Billy Madison,Tamra Davis,Jack Giarraputo Productions,3.25,26.489
217,"['alcohol', 'obsession', 'babysitter']","['Alicia Silverstone', 'Jeremy London', 'J.T. Walsh']","['Drama', 'Thriller']",2.76,The Babysitter,Guy Ferland,Spelling Films International,2.73,0.0
219,['mississippi'],"['Brad Renfro', 'Joseph Mazzello', 'Annabella Sciorra']","['Drama', 'Family']",2.69,The Cure,Peter Horton,Universal Pictures,3.61,0.0
220,"['castle', 'voyeurism']","['Jeffrey Combs', 'Barbara Crampton', 'Jonathan Fuller']","['Thriller', 'Drama', 'Horror']",2.27,Castle Freak,Stuart Gordon,Full Moon Entertainment,2.41,0.0
223,"['salesclerk', 'loser', 'aftercreditsstinger']","[""Brian O'Halloran"", 'Jeff Anderson', 'Jason Mewes']",['Comedy'],10.51,Clerks,Kevin Smith,Miramax Films,3.86,3.151
224,"['sex addiction', 'love', 'mental institution']","['Johnny Depp', 'Marlon Brando', 'Faye Dunaway']","['Romance', 'Drama', 'Comedy']",7.44,Don Juan DeMarco,Jeremy Leven,New Line Cinema,3.44,22.2
